subsystem,membrane_or_equipment_type,key_parameter,parameter_value,mandatory_rule
Ultrafiltration (UF),Hollow Fiber PVDF / Polyethersulfone (PES),pore_size_micron,0.01 - 0.05,Pre-filtration through 100-micron auto-backwash screen filter is mandatory before UF.
Ultrafiltration (UF),Hollow Fiber PVDF / Polyethersulfone (PES),transmembrane_pressure_bar,0.5 - 2.0,Pre-filtration through 100-micron auto-backwash screen filter is mandatory before UF.
Ultrafiltration (UF),Hollow Fiber PVDF / Polyethersulfone (PES),design_flux_lmh,50 - 70,Pre-filtration through 100-micron auto-backwash screen filter is mandatory before UF.
Ultrafiltration (UF),Hollow Fiber PVDF / Polyethersulfone (PES),backwash_frequency_min,20 - 30,Pre-filtration through 100-micron auto-backwash screen filter is mandatory before UF.
Ultrafiltration (UF),Hollow Fiber PVDF / Polyethersulfone (PES),backwash_duration_sec,30 - 60,Pre-filtration through 100-micron auto-backwash screen filter is mandatory before UF.
Ultrafiltration (UF),Hollow Fiber PVDF / Polyethersulfone (PES),chemically_enhanced_backwash_ceb,Daily with NaOCl (200 ppm) & Citric Acid (1000 ppm),Pre-filtration through 100-micron auto-backwash screen filter is mandatory before UF.
Reverse Osmosis (RO Primary & Secondary),Thin Film Composite (TFC) Polyamide Spiral Wound,stage_1_pressure_bar,14 - 18,ORP sensor interlock: Automatically shut down RO high pressure pump if feed ORP > 250 mV to prevent chlorine oxidation of membranes.
Reverse Osmosis (RO Primary & Secondary),Thin Film Composite (TFC) Polyamide Spiral Wound,stage_2_pressure_bar,22 - 28,ORP sensor interlock: Automatically shut down RO high pressure pump if feed ORP > 250 mV to prevent chlorine oxidation of membranes.
Reverse Osmosis (RO Primary & Secondary),Thin Film Composite (TFC) Polyamide Spiral Wound,salt_rejection_pct,> 98.5%,ORP sensor interlock: Automatically shut down RO high pressure pump if feed ORP > 250 mV to prevent chlorine oxidation of membranes.
Reverse Osmosis (RO Primary & Secondary),Thin Film Composite (TFC) Polyamide Spiral Wound,permeate_tds_target,< 80 mg/L,ORP sensor interlock: Automatically shut down RO high pressure pump if feed ORP > 250 mV to prevent chlorine oxidation of membranes.
Reverse Osmosis (RO Primary & Secondary),Thin Film Composite (TFC) Polyamide Spiral Wound,max_feed_turbidity_ntu,< 0.5,ORP sensor interlock: Automatically shut down RO high pressure pump if feed ORP > 250 mV to prevent chlorine oxidation of membranes.
Reverse Osmosis (RO Primary & Secondary),Thin Film Composite (TFC) Polyamide Spiral Wound,max_feed_sdi15,< 3.0,ORP sensor interlock: Automatically shut down RO high pressure pump if feed ORP > 250 mV to prevent chlorine oxidation of membranes.
Multiple Effect Evaporator (MEE) & Crystallizer,Falling Film + Forced Circulation Evaporator with ATFD,feed_brine_tds_mg_l,"70,000 - 100,000","Operate 1st and 2nd effects under falling film configuration for thermal efficiency, followed by forced circulation for crystallizing stage."
Multiple Effect Evaporator (MEE) & Crystallizer,Falling Film + Forced Circulation Evaporator with ATFD,concentrate_discharge_tds_mg_l,"300,000 - 350,000 (Slurry)","Operate 1st and 2nd effects under falling film configuration for thermal efficiency, followed by forced circulation for crystallizing stage."
Multiple Effect Evaporator (MEE) & Crystallizer,Falling Film + Forced Circulation Evaporator with ATFD,steam_pressure_bar,2.5 - 4.0,"Operate 1st and 2nd effects under falling film configuration for thermal efficiency, followed by forced circulation for crystallizing stage."
Multiple Effect Evaporator (MEE) & Crystallizer,Falling Film + Forced Circulation Evaporator with ATFD,vacuum_last_effect_mmHg,650 - 680,"Operate 1st and 2nd effects under falling film configuration for thermal efficiency, followed by forced circulation for crystallizing stage."
Multiple Effect Evaporator (MEE) & Crystallizer,Falling Film + Forced Circulation Evaporator with ATFD,condensate_tds_mg_l,< 50 mg/L,"Operate 1st and 2nd effects under falling film configuration for thermal efficiency, followed by forced circulation for crystallizing stage."
