rule_id,knowledge_id,rule_type,domain,title,condition,incompatible_chemicals,action_type,action_message,applicability,source_file,source_section,source_page,source_excerpt,semantic_audit_status,correction_applied,human_validation_status,human_decision,reviewer_name,reviewer_role,reviewer_notes,review_date
RULE-0001,KB-00075,compatibility,chemical,Incompatibility: Syntan After-treating Fixing Agent vs Non-ionic surfactants in recipe REC-NYL-003,recipe_id == REC-NYL-003,Non-ionic surfactants,prohibit,Do not use Syntan After-treating Fixing Agent together with Non-ionic surfactants in recipe REC-NYL-003.,"{""fiber"": [""85% Nylon 6,6 / 15% Spandex Warp Knit""], ""dye_class"": [""Half-milling Acid Dye / 1:2 Metal Complex Dye""], ""fabric"": [], ""chemical"": [""Syntan After-treating Fixing Agent""], ""machine_type"": [], ""process_stage"": [], ""shade"": [""Crimson Red""]}",Standard_Recipes_Master_Dataset.json,chemical_information,,Non-ionic surfactants,valid,No,pending,pending,,,,
RULE-0002,KB-00142,compatibility,chemical,Incompatibility: Polymeric Migration Inhibitor vs Strong electrolytes in recipe REC-VAT-005,recipe_id == REC-VAT-005,Strong electrolytes,prohibit,Do not use Polymeric Migration Inhibitor together with Strong electrolytes in recipe REC-VAT-005.,"{""fiber"": [""100% Cotton Heavy Canvas / Twill Woven""], ""dye_class"": [""Insoluble Anthraquinone Vat Dye Pigment""], ""fabric"": [], ""chemical"": [""Polymeric Migration Inhibitor""], ""machine_type"": [], ""process_stage"": [], ""shade"": [""Khaki Drab""]}",Standard_Recipes_Master_Dataset.json,chemical_information,,Strong electrolytes,valid,No,pending,pending,,,,
RULE-0003,KB-00139,compatibility,chemical,"Incompatibility: Sodium Hydrosulfite (Na2S2O4) + Caustic Soda 38°Bé vs Air / Oxygen, acids in recipe REC-VAT-005",recipe_id == REC-VAT-005,"Air / Oxygen, acids",prohibit,"Do not use Sodium Hydrosulfite (Na2S2O4) + Caustic Soda 38°Bé together with Air / Oxygen, acids in recipe REC-VAT-005.","{""fiber"": [""100% Cotton Heavy Canvas / Twill Woven""], ""dye_class"": [""Insoluble Anthraquinone Vat Dye Pigment""], ""fabric"": [], ""chemical"": [""Sodium Hydrosulfite (Na2S2O4) + Caustic Soda 38°Bé""], ""machine_type"": [], ""process_stage"": [], ""shade"": [""Khaki Drab""]}",Standard_Recipes_Master_Dataset.json,chemical_information,,"Air / Oxygen, acids",valid,Yes,pending,pending,,,,
RULE-0004,KB-00072,compatibility,chemical,Incompatibility: Anionic Retarding / Leveling Agent vs Cationic softeners in recipe REC-NYL-003,recipe_id == REC-NYL-003,Cationic softeners,prohibit,Do not use Anionic Retarding / Leveling Agent together with Cationic softeners in recipe REC-NYL-003.,"{""fiber"": [""85% Nylon 6,6 / 15% Spandex Warp Knit""], ""dye_class"": [""Half-milling Acid Dye / 1:2 Metal Complex Dye""], ""fabric"": [], ""chemical"": [""Anionic Retarding / Leveling Agent""], ""machine_type"": [], ""process_stage"": [], ""shade"": [""Crimson Red""]}",Standard_Recipes_Master_Dataset.json,chemical_information,,Cationic softeners,valid,No,pending,pending,,,,
RULE-0005,KB-00008,compatibility,chemical,"Incompatibility: Soda Ash (Sodium Carbonate Na2CO3) vs Direct acids, oxidizing agents in recipe REC-COT-001",recipe_id == REC-COT-001,"Direct acids, oxidizing agents",prohibit,"Do not use Soda Ash (Sodium Carbonate Na2CO3) together with Direct acids, oxidizing agents in recipe REC-COT-001.","{""fiber"": [""100% Cotton Single Jersey Knit""], ""dye_class"": [""Bifunctional Reactive Dye (VS / MCT Chemistry)""], ""fabric"": [], ""chemical"": [""Soda Ash (Sodium Carbonate Na2CO3)""], ""machine_type"": [], ""process_stage"": [], ""shade"": [""Royal Blue""]}",Standard_Recipes_Master_Dataset.json,chemical_information,,"Direct acids, oxidizing agents",valid,Yes,pending,pending,,,,
RULE-0006,KB-00110,compatibility,chemical,Incompatibility: Glauber's Salt + Soda Ash (Step 2) vs Disperse dyes in recipe REC-PC-004,recipe_id == REC-PC-004,Disperse dyes,prohibit,Do not use Glauber's Salt + Soda Ash (Step 2) together with Disperse dyes in recipe REC-PC-004.,"{""fiber"": [""65% Polyester / 35% Cotton Woven Twill""], ""dye_class"": [""Disperse Dye (PES component) + Bifunctional Reactive Dye (Cotton component)""], ""fabric"": [], ""chemical"": [""Glauber's Salt + Soda Ash (Step 2)""], ""machine_type"": [], ""process_stage"": [], ""shade"": [""Forest Green""]}",Standard_Recipes_Master_Dataset.json,chemical_information,,Disperse dyes,valid,No,pending,pending,,,,
RULE-0007,KB-00005,compatibility,chemical,"Incompatibility: Glauber's Salt (Sodium Sulfate Na2SO4) vs Cationic fixing agents, strong concentrated acids in recipe REC-COT-001",recipe_id == REC-COT-001,"Cationic fixing agents, strong concentrated acids",prohibit,"Do not use Glauber's Salt (Sodium Sulfate Na2SO4) together with Cationic fixing agents, strong concentrated acids in recipe REC-COT-001.","{""fiber"": [""100% Cotton Single Jersey Knit""], ""dye_class"": [""Bifunctional Reactive Dye (VS / MCT Chemistry)""], ""fabric"": [], ""chemical"": [""Glauber's Salt (Sodium Sulfate Na2SO4)""], ""machine_type"": [], ""process_stage"": [], ""shade"": [""Royal Blue""]}",Standard_Recipes_Master_Dataset.json,chemical_information,,"Cationic fixing agents, strong concentrated acids",valid,Yes,pending,pending,,,,
RULE-0008,KB-00107,compatibility,chemical,Incompatibility: Sodium Hydrosulfite + Caustic Soda (Intermediate RC) vs Acids in recipe REC-PC-004,recipe_id == REC-PC-004,Acids,prohibit,Do not use Sodium Hydrosulfite + Caustic Soda (Intermediate RC) together with Acids in recipe REC-PC-004.,"{""fiber"": [""65% Polyester / 35% Cotton Woven Twill""], ""dye_class"": [""Disperse Dye (PES component) + Bifunctional Reactive Dye (Cotton component)""], ""fabric"": [], ""chemical"": [""Sodium Hydrosulfite + Caustic Soda (Intermediate RC)""], ""machine_type"": [], ""process_stage"": [], ""shade"": [""Forest Green""]}",Standard_Recipes_Master_Dataset.json,chemical_information,,Acids,valid,No,pending,pending,,,,
RULE-0009,KB-00069,compatibility,chemical,Incompatibility: Ammonium Sulfate (NH4)2SO4 (pH Buffer) vs Alkalis in recipe REC-NYL-003,recipe_id == REC-NYL-003,Alkalis,prohibit,Do not use Ammonium Sulfate (NH4)2SO4 (pH Buffer) together with Alkalis in recipe REC-NYL-003.,"{""fiber"": [""85% Nylon 6,6 / 15% Spandex Warp Knit""], ""dye_class"": [""Half-milling Acid Dye / 1:2 Metal Complex Dye""], ""fabric"": [], ""chemical"": [""Ammonium Sulfate (NH4)2SO4 (pH Buffer)""], ""machine_type"": [], ""process_stage"": [], ""shade"": [""Crimson Red""]}",Standard_Recipes_Master_Dataset.json,chemical_information,,Alkalis,valid,No,pending,pending,,,,
RULE-0010,KB-00040,compatibility,chemical,Incompatibility: Acetic Acid (80%) + Sodium Acetate Buffer vs Alkalis in recipe REC-PES-002,recipe_id == REC-PES-002,Alkalis,prohibit,Do not use Acetic Acid (80%) + Sodium Acetate Buffer together with Alkalis in recipe REC-PES-002.,"{""fiber"": [""100% Polyester Microfiber Woven Fabric""], ""dye_class"": [""High-Thermal Fastness Disperse Dye (SE / HW Type)""], ""fabric"": [], ""chemical"": [""Acetic Acid (80%) + Sodium Acetate Buffer""], ""machine_type"": [], ""process_stage"": [], ""shade"": [""Dark Navy Blue""]}",Standard_Recipes_Master_Dataset.json,chemical_information,,Alkalis,valid,No,pending,pending,,,,
