chemical_name,dosing_stage,purpose,typical_dosage_mg_l,optimum_ph_range,reaction_time_min,rule_statement
Alum (Aluminum Sulfate),Primary Coagulation,Colloidal color and suspended solids precipitation,150 - 400,6.0 - 7.5,2 - 5,"If raw effluent pH > 8.5, pre-neutralize with acid before alum dosing to prevent hydroxide dissolution."
Poly Aluminum Chloride (PAC),Primary Coagulation,High-density floc formation with lower sludge volume than Alum,100 - 300,6.5 - 8.5,1 - 3,Dose PAC directly into flash mixer; superior performance over alum at colder temperatures.
Ferrous Sulfate (FeSO4),Primary Coagulation & Fenton Reaction,Decolorization of sulfur and reactive dye effluent & Fenton catalyst,200 - 500,8.5 - 10.0 (Coagulation) / 3.0 - 3.5 (Fenton),10 - 15,Must add Lime/Caustic after Ferrous Sulfate to form heavy iron hydroxide precipitate.
Anionic Polyelectrolyte (Polyacrylamide),Flocculation & Sludge Dewatering,"Bridging micro-flocs into large, rapidly settling macro-flocs",0.5 - 2.0,6.0 - 9.0,15 - 30,Prepare 0.1% stock solution with aging time of 45 mins. Over-dosing causes floc dispersion and foam.
Hydrogen Peroxide (H2O2 35%),Fenton Advanced Oxidation,Generates hydroxyl radicals (•OH) to break down recalcitrant azo dye bonds,500 - 1500,3.0 - 3.5,60 - 90,Dose H2O2 strictly after adjusting pH to 3.2 and adding FeSO4. Quench residual H2O2 prior to bio-stage.
Sulfuric Acid (H2SO4 98%),Neutralization & Fenton Prep,Lowering alkaline effluent pH,200 - 1000 (varies with raw alkali),Target pH 7.0 - 7.5,5 - 10,Dose via automated pH feedback controller with acid-resistant PTFE lining and static mixer.
Hydrated Lime (Ca(OH)2),Neutralization & Primary Coagulation,"pH elevation, heavy metal precipitation, and sludge conditioning",300 - 1200,Target pH 8.5 - 10.0,10 - 20,"Dose as 5-10% slurry. Lime increases total primary sludge weight but yields dense, fast-dewatering sludge."
Urea & Di-Ammonium Phosphate (DAP),Aeration Basin (Biological),Supplies nitrogen and phosphorus for bacterial biomass synthesis,Maintain BOD:N:P = 100:5:1,6.8 - 7.8,Continuous bio-assimilation,Monitor residual N (< 2 mg/L) and P (< 0.5 mg/L) in secondary clarifier overflow to prevent bio-starvation.
Sodium Metabisulfite (SMBS),RO Feed Pre-treatment,Scavenges free chlorine to protect polyamide RO membranes from oxidation,2.0 - 5.0 (1.4 mg SMBS per mg Chlorine),6.0 - 7.5,1 - 2 (in-line),Maintain Oxidation-Reduction Potential (ORP) < 200 mV before RO membranes at all times.
RO Polycarboxylate Antiscalant,High Pressure RO Feed,"Inhibits CaSO4, CaCO3, and Silica scale formation on membrane surface",3.0 - 6.0,5.5 - 7.5,Continuous inline injection,Dose continuously via dosing pump interlocked with high-pressure RO pump. Never run RO without antiscalant.
