Fiber Type,Dye Class,Machine Type,Liquor Ratio (MLR),Temp Range (°C),Max Pressure (bar),Heating Rate (°C/min),Critical Chemicals & Dosage,Target pH,Key Machine & Process Constraints
Cotton,Reactive Dyes (VS),HTHP Soft-Flow / Jet,1:6 - 1:8,60°C,Atmospheric,1.5,Glauber's Salt (30-80 g/L); Soda Ash (10-20 g/L),10.8 - 11.2,Requires exponential alkali dosing; turn time 48-90s; nozzle dia 70-90mm
Cotton,Reactive Dyes (MCT),Atmospheric Winch / Jigger,1:4 - 1:15,80°C,Atmospheric,1.0 - 1.5,Salt (40-60 g/L); Soda Ash (15-20 g/L),10.5 - 11.0,High warp tension in jiggers; long turn time in winches causes unlevelness
Cotton,Vat Dyes,Continuous Pad-Steam,Pad 65% pick-up,102°C Steaming,Atmospheric,Instant Steam,Caustic Soda 38Bé (45 mL/L); Sodium Hydrosulfite (40 g/L),12.0 - 13.0,Zero air ingress in steamer (O2 < 0.1%); strict pre-drying to avoid migration
Polyester,Disperse Dyes,HTHP Jet Dyeing,1:5 - 1:8,130°C,2.8 - 3.5 bar,1.0 - 1.5 through strike zone,Dispersing Agent (1.5 g/L); Acetic Acid; Hydros/Caustic for RC,4.5 - 5.5,Controlled cooling below 80°C to avoid oligomers & creases; high pressure seals
Polyester,Disperse Dyes,HTHP Package Dyeing,1:6 - 1:10,130°C,3.5 - 4.0 bar,1.0 - 2.0,Dispersing Agent (1.5 g/L); Leveling Agent (1.0 g/L),4.5 - 5.0,Requires uniform package density (0.38-0.42 g/cm³); Delta P 0.8-1.2 bar; In-Out 5m / Out-In 3m
Nylon 6 / 6.6,Acid Dyes,HTHP Soft-Flow / Jet,1:8 - 1:10,98°C - 100°C,Atmospheric / Low,1.0,Ammonium Sulfate (1-2 g/L); Anionic Leveling Agent; Syntan (2-3%),4.8 - 5.5,High affinity at >70°C; barre prevention requires controlled heating and leveling agent
Wool,Acid / Reactive Dyes,Cabinet / Package,1:10 - 1:15,95°C - 98°C,Atmospheric,0.5 - 1.0,Acetic Acid / Formic Acid; Sodium Sulfate (5-10%); Leveler,4.2 - 4.8,Fiber damage above 100°C; gentle mechanical agitation to prevent felting; package density 0.28-0.32 g/cm³
Polyester/Cotton,Disperse + Reactive,HTHP Soft-Flow / Jet,1:6 - 1:8,130°C then 60°C,2.8 - 3.5 bar,1.0 - 1.5,Disperse auxiliaries first; Intermediate RC; Salt & Soda Ash second bath,Step 1: 4.5; Step 2: 11.0,Two-stage temp & pH shift; long total cycle time (~6-8 hrs)
Delicate Knits,Reactive / Acid,Airflow Dyeing Machine,1:3 - 1:4,130°C,3.5 - 4.0 bar,1.5 - 2.0,Anti-foaming agent (0.5-1.0 g/L); Dispersing / Leveling agent,4.5 - 11.0,Air blower power 15-30 kW; air velocity 25-45 m/s; high foaming risk
Woven Cotton,Disperse / Reactive,Continuous Thermosol,Pad 65-70%,200-215°C Fixation,Atmospheric,Instant Heat,Migration Inhibitor (10 g/L); Wetting Agent (2 g/L),6.0 - 7.0,Nip pressure 2.5-4.0 bar; IR pre-dry to 25% moisture; dwell time 45-60s; trough renewal <30s
