stage_id,stage_name,category,rule_id,rule_description,key_control_metric
1,Equalization & Bar Screening,Pre-treatment,EQ-01,Maintain air agitation at 1.5 - 2.0 m³/m²/hr to prevent sludge settling and septic odor formation.,retention_time_hours: 12 - 24
1,Equalization & Bar Screening,Pre-treatment,EQ-02,Effluent retention time in Equalization Tank must be maintained between 12 to 24 hours to handle batch shock loads.,retention_time_hours: 12 - 24
1,Equalization & Bar Screening,Pre-treatment,EQ-03,Effluent temperature entering biological stage must not exceed 40°C. Operate cooling tower if raw feed > 45°C.,retention_time_hours: 12 - 24
1,Equalization & Bar Screening,Pre-treatment,EQ-04,Clean rotary fine drum screens continuously to prevent lint build-up and pump cavitation.,retention_time_hours: 12 - 24
2,Primary Physico-Chemical Treatment (Coagulation & Flocculation),Primary Treatment,PC-01,Flash mixing speed (G-value > 300 s⁻¹) must be maintained for 1 to 3 minutes for rapid coagulant dispersion.,flash_mixing_time_min: 1 - 3
2,Primary Physico-Chemical Treatment (Coagulation & Flocculation),Primary Treatment,PC-02,Maintain optimum pH 6.5 - 7.5 when using Alum or PAC; maintain pH 8.5 - 10.0 when using Ferrous Sulfate.,flash_mixing_time_min: 1 - 3
2,Primary Physico-Chemical Treatment (Coagulation & Flocculation),Primary Treatment,PC-03,"Flocculation mixing speed must be slow (G-value 20-70 s⁻¹, 15-40 rpm) for 15 to 30 minutes to form large settleable flocs without shearing.",flash_mixing_time_min: 1 - 3
2,Primary Physico-Chemical Treatment (Coagulation & Flocculation),Primary Treatment,PC-04,Primary Clarifier surface overflow rate (SOR) must be maintained at 15 - 25 m³/m²/day.,flash_mixing_time_min: 1 - 3
3,Secondary Biological Aeration (Activated Sludge / MBBR / MBR),Secondary Treatment,BIO-01,Maintain Dissolved Oxygen (DO) strictly between 2.0 to 3.0 mg/L in aeration basin. DO < 1.5 causes sludge bulking; DO > 4.0 wastes energy.,do_mg_l: 2.0 - 3.0
3,Secondary Biological Aeration (Activated Sludge / MBBR / MBR),Secondary Treatment,BIO-02,"Maintain MLSS between 3,000 - 4,500 mg/L for ASP, 5,000 - 8,000 mg/L for MBBR, and 8,000 - 12,000 mg/L for MBR.",do_mg_l: 2.0 - 3.0
3,Secondary Biological Aeration (Activated Sludge / MBBR / MBR),Secondary Treatment,BIO-03,Maintain nutrient ratio BOD : N : P at 100 : 5 : 1. Dose Urea and Di-Ammonium Phosphate (DAP) if influent is nutrient-deficient.,do_mg_l: 2.0 - 3.0
3,Secondary Biological Aeration (Activated Sludge / MBBR / MBR),Secondary Treatment,BIO-04,Maintain Sludge Volume Index (SVI) between 80 - 120 mL/g. SVI > 150 indicates filamentous bio-sludge bulking.,do_mg_l: 2.0 - 3.0
3,Secondary Biological Aeration (Activated Sludge / MBBR / MBR),Secondary Treatment,BIO-05,Maintain RAS (Return Activated Sludge) flow rate at 50% to 100% of incoming effluent flow rate.,do_mg_l: 2.0 - 3.0
4,Tertiary Treatment & Advanced Oxidation Process (AOP),Tertiary Treatment,TT-01,"For Fenton Oxidation, maintain exact reaction pH of 3.0 - 3.5 using H2SO4; dose FeSO4 and H2O2 in molar ratio 1:3 to 1:5.",fenton_ph: 3.0 - 3.5
4,Tertiary Treatment & Advanced Oxidation Process (AOP),Tertiary Treatment,TT-02,Neutralize Fenton effluent with Caustic/Lime to pH 7.5 - 8.5 to precipitate ferric hydroxide sludge before filtration.,fenton_ph: 3.0 - 3.5
4,Tertiary Treatment & Advanced Oxidation Process (AOP),Tertiary Treatment,TT-03,Backwash Dual Media Filter (DMF) and Activated Carbon Filter (ACF) daily or when differential pressure exceeds 0.8 bar.,fenton_ph: 3.0 - 3.5
4,Tertiary Treatment & Advanced Oxidation Process (AOP),Tertiary Treatment,TT-04,Ensure Silt Density Index (SDI15) of ACF permeate is strictly < 3.0 prior to feeding Ultrafiltration (UF) and Reverse Osmosis (RO).,fenton_ph: 3.0 - 3.5
5,"Ultrafiltration (UF), Reverse Osmosis (RO) & Zero Liquid Discharge (ZLD)",Membrane & ZLD,ZLD-01,Dose Antiscalant (3-5 ppm) and Sodium Metabisulfite (SMBS 2-5 ppm) prior to RO feed to prevent silica/calcium scaling and chlorine membrane damage.,uf_recovery_pct: 90 - 95
5,"Ultrafiltration (UF), Reverse Osmosis (RO) & Zero Liquid Discharge (ZLD)",Membrane & ZLD,ZLD-02,Maintain RO Feed Operating Pressure between 15-25 bar (Stage 1) and up to 60-80 bar for High-Pressure RO Reject recovery.,uf_recovery_pct: 90 - 95
5,"Ultrafiltration (UF), Reverse Osmosis (RO) & Zero Liquid Discharge (ZLD)",Membrane & ZLD,ZLD-03,Clean-In-Place (CIP) for RO membranes must be initiated when permeate flow drops by 10% or differential pressure increases by 15%.,uf_recovery_pct: 90 - 95
5,"Ultrafiltration (UF), Reverse Osmosis (RO) & Zero Liquid Discharge (ZLD)",Membrane & ZLD,ZLD-04,"Feed high TDS RO Reject brine (TDS 70,000 - 100,000 mg/L) to Multiple Effect Evaporator (MEE) to crystallize dry salt and recover 100% water.",uf_recovery_pct: 90 - 95
